DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0004-BRA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,BRA,Brazil,Latin America and the Caribbean,Americas,Pouso Redondo (Etat de Santa Catarina),,,No,No,No,,,,,,,2000,1,12,2000,1,12,42,71,,,71,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0008-GTM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Pacaya,GTM,Guatemala,Latin America and the Caribbean,Americas,"El Caracol, El Patrocinio, El Rodeo, San Francisco de Sales cities (San Vicente Pacaya district, Escuintla province)",,,No,No,No,,,,14.381,-90.601,,2000,1,16,2000,1,16,,,800,,800,,,,,,,56.5142905592776,"[{""adm2_code"":64911,""adm2_name"":""San Vicente Pacaya""}]",2014-07-28,2023-09-25
2000-0015-PER,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,PER,Peru,Latin America and the Caribbean,Americas,San Francisco (Ayacucho department),,,No,No,No,,,,,,,2000,1,1,2000,1,1,29,7,,,7,,,,,,,56.5142905592776,,2005-07-22,2023-09-25
2000-0019-BRA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BRA,Brazil,Latin America and the Caribbean,Americas,"Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province), Campos de Jordao city (Campos de Jordao district, Sao Paulo province). Volta Redonda district (Rio de Janeiro province), Barra Mansa district (Rio de Janeiro province), Resende district (Rio de Janeiro province), Pirangucu district (Minas Gerais province), Santa Rita do Sapucai district (Minas Gerais province).",Heavy rains,"Slide (land, mud, snow, rock)",No,No,Yes,,350000,Km2,,,"Paraiba, Tiete, Maracana, Rio Verde",2000,1,1,2000,1,6,26,,,70000,70000,,,,,,,56.5142905592776,"[{""adm2_code"":8467,""adm2_name"":""Pirangucu""},{""adm2_code"":8555,""adm2_name"":""Santa Rita Do Sapucai""},{""adm2_code"":9902,""adm2_name"":""Barra Mansa""},{""adm2_code"":9956,""adm2_name"":""Resende""},{""adm2_code"":9961,""adm2_name"":""Rio De Janeiro""},{""adm2_code"":9985,""adm2_name"":""Volta Redonda""},{""adm2_code"":11089,""adm2_name"":""Campos Do Jordao""},{""adm2_code"":11543,""adm2_name"":""Sao Paulo""}]",2005-07-08,2023-09-25
2000-0021-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Crittenden, Daviess, Webster districts (Kentucky province)",,,No,No,No,,,Kph,,,,2000,1,2,2000,1,4,1,12,,150,162,,,200500,354778,210000,371587,56.5142905592776,"[{""adm2_code"":29698,""adm2_name"":""Crittenden""},{""adm2_code"":29700,""adm2_name"":""Daviess""},{""adm2_code"":29787,""adm2_name"":""Webster""}]",2003-07-01,2023-09-25
2000-0035-USA,No,tec-tra-air-air,Technological,Transport,Air,Air,,MD-83,USA,United States of America,Northern America,Americas,Pacifique (au large de la Californie),,,No,No,No,,,,,,,2000,1,31,2000,1,31,88,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0067-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",,,No,No,No,,249,Kph,,,,2000,2,13,2000,2,14,22,100,900,,1000,,,,,,,56.5142905592776,"[{""adm2_code"":28696,""adm2_name"":""Bullock""},{""adm2_code"":28741,""adm2_name"":""Montgomery""},{""adm2_code"":28832,""adm2_name"":""Lonoke""},{""adm2_code"":28848,""adm2_name"":""Prairie""},{""adm2_code"":28851,""adm2_name"":""Saline""},{""adm2_code"":29064,""adm2_name"":""Washington""},{""adm2_code"":29099,""adm2_name"":""Colquitt""},{""adm2_code"":29107,""adm2_name"":""Decatur""},{""adm2_code"":29129,""adm2_name"":""Grady""},{""adm2_code"":29165,""adm2_name"":""Mitchell""},{""adm2_code"":29200,""adm2_name"":""Thomas""},{""adm2_code"":29201,""adm2_name"":""Tift""}]",2005-04-24,2023-09-25
2000-0080-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Kentucky, Ohio provinces",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,55000,Km2,,,"Licking River, Ohio River, Scioto River",2000,2,18,2000,2,22,3,,231,,231,,,,,,,56.5142905592776,"[{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3249,""adm1_name"":""Ohio""}]",2005-09-16,2023-09-25
2000-0081-COL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a373,,COL,Colombia,Latin America and the Caribbean,Americas,Jurado island and Jurado districts (Choco province),,,No,No,No,,6.5,Moment Magnitude,7.042,-77.829,,2000,11,8,2000,11,8,2,,430,,430,,,,,,,56.5142905592776,"[{""adm2_code"":13795,""adm2_name"":""Jurado""},{""adm2_code"":13796,""adm2_name"":""Jurado (is.)""}]",2008-05-08,2023-09-25
2000-0098-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COL,Colombia,Latin America and the Caribbean,Americas,"Tolima, Santander, Valle provinces",,,No,No,No,,,Km2,,,,2000,2,,2000,2,,8,,,39000,39000,,,,,,,56.5142905592776,"[{""adm1_code"":961,""adm1_name"":""Santander""},{""adm1_code"":963,""adm1_name"":""Tolima""},{""adm1_code"":964,""adm1_name"":""Valle Del Cauca""}]",2003-07-01,2023-09-25
2000-0105-PRY,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,PRY,Paraguay,Latin America and the Caribbean,Americas,Near Coronel Oviedo,,,No,No,No,,,,,,,2000,3,6,2000,3,6,37,10,,,10,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0115-BRA,No,tec-ind-che-che,Technological,Industrial accident,Chemical spill,Chemical spill,,Petrobas refinery,BRA,Brazil,Latin America and the Caribbean,Americas,Guanabara Bay (Rio de Janeiro),,,No,No,No,,,m3,,,,2000,1,18,2000,1,18,,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0116-ARG,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ARG,Argentina,Latin America and the Caribbean,Americas,"Catamarca, Cordoba, Jujuy, La Rioja, Santiago del Estero, Salta,Tucuman provinces",Heavy rain,,No,No,No,,,Km2,,,,2000,3,9,2000,3,17,7,,,6000,6000,,,,,,,56.5142905592776,"[{""adm1_code"":431,""adm1_name"":""Catamarca""},{""adm1_code"":434,""adm1_name"":""Cordoba""},{""adm1_code"":438,""adm1_name"":""Jujuy""},{""adm1_code"":440,""adm1_name"":""La Rioja""},{""adm1_code"":445,""adm1_name"":""Salta""},{""adm1_code"":450,""adm1_name"":""Santiago Del Estero""},{""adm1_code"":452,""adm1_name"":""Tucuman""}]",2005-09-16,2023-09-25
2000-0128-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,No,No,No,,113,Km2,,,,2000,2,26,2000,2,26,,,600,,600,,,,,,,56.5142905592776,"[{""adm2_code"":28998,""adm2_name"":""Alachua""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29030,""adm2_name"":""Lafayette""}]",2003-07-01,2023-09-25
2000-0129-PER,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PER,Peru,Latin America and the Caribbean,Americas,"Hipre village (Uraya area, Angaraes district, Huancavelica province)",Torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2000,3,16,2000,3,16,22,,,50,50,,,,,,,56.5142905592776,"[{""adm2_code"":24086,""adm2_name"":""Angaraes""}]",2005-02-03,2023-09-25
2000-0130-BOL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Nuflo de Chavez, Obispo Santiesteban districts (Santa Cruz province), Bermejo town (Acre district, Tarija province), Avilez district (Tarija province), Gran Chaco district (Tarija province), Chuquisaca province",Heavy rains,,No,No,No,,750,Km2,,,"Bermejo, Grande",2000,3,13,2000,3,15,,,7000,,7000,,,,,,,56.5142905592776,"[{""adm1_code"":40444,""adm1_name"":""Chuquisaca""},{""adm2_code"":40531,""adm2_name"":""Ñuflo De Chavez""},{""adm2_code"":40532,""adm2_name"":""Obispo Santisteban""},{""adm2_code"":40536,""adm2_name"":""Arce""},{""adm2_code"":40537,""adm2_name"":""Avilez""},{""adm2_code"":40539,""adm2_name"":""Gran Chaco""}]",2005-02-09,2023-09-25
2000-0175-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",,,No,No,No,,,Kph,,,,2000,3,28,2000,3,28,5,,3000,300,3300,,,,,450000,796259,56.5142905592776,"[{""adm2_code"":31225,""adm2_name"":""Burleson""},{""adm2_code"":31391,""adm2_name"":""Reagan""},{""adm2_code"":31419,""adm2_name"":""Tarrant""}]",2003-07-01,2023-09-25
2000-0177-BRA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,BRA,Brazil,Latin America and the Caribbean,Americas,Miracatu (Sao Paulo state),,,No,No,No,,,,,,,2000,4,3,2000,4,3,17,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0181-PAN,No,tec-tra-air-air,Technological,Transport,Air,Air,,Aeroperlas aircraft,PAN,Panama,Latin America and the Caribbean,Americas,Darien Province,,,No,No,No,,,,,,,2000,3,17,2000,3,17,10,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0201-GTM,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,GTM,Guatemala,Latin America and the Caribbean,Americas,Near San Martin Jilotepeque,,,No,No,No,,,,,,,2000,4,15,2000,4,15,31,45,,,45,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0203-BMU,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Bulk carrier Leader L.,BMU,Bermuda,Northern America,Americas,"Noth Atlantic sea, between Bermuda and Nova Scotia",,,No,No,No,,,,,,,2000,3,24,2000,3,24,18,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0204-ECU,No,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,,,ECU,Ecuador,Latin America and the Caribbean,Americas,"Guayas, Los Rios provinces",,,No,No,No,,,Vaccinated,,,,2000,3,,2000,3,,,,100000,,100000,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0205-ECU,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue fever,ECU,Ecuador,Latin America and the Caribbean,Americas,,,,No,No,No,,,Vaccinated,,,,2000,3,,2000,3,,8,,220,,220,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0206-ECU,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ECU,Ecuador,Latin America and the Caribbean,Americas,Quito district (Pichincha province),,,No,No,No,,,,,,,2000,4,12,2000,4,12,14,25,,180,205,,,,,,,56.5142905592776,"[{""adm2_code"":15512,""adm2_name"":""Quito""}]",2003-07-01,2023-09-25
2000-0215-HND,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,HND,Honduras,Latin America and the Caribbean,Americas,"Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, Francisco Morazan, Gracias A Dios, Intibuca, Islas De Bahia, La Paz, Lempira, Name Unknown, Ocotepeque, Olancho, Paraiso, Santa Barbara, Valle, Yoro provinces",,,No,No,No,,125,Km2,,,,2000,2,,2000,2,,,,,,,,,,,,,56.5142905592776,"[{""adm1_code"":1420,""adm1_name"":""Atlantida""},{""adm1_code"":1421,""adm1_name"":""Choluteca""},{""adm1_code"":1422,""adm1_name"":""Colon""},{""adm1_code"":1423,""adm1_name"":""Comayagua""},{""adm1_code"":1424,""adm1_name"":""Copan""},{""adm1_code"":1425,""adm1_name"":""Cortes""},{""adm1_code"":1426,""adm1_name"":""Francisco Morazan""},{""adm1_code"":1427,""adm1_name"":""Gracias A Dios""},{""adm1_code"":1428,""adm1_name"":""Intibuca""},{""adm1_code"":1429,""adm1_name"":""Islas De Bahia""},{""adm1_code"":1430,""adm1_name"":""La Paz""},{""adm1_code"":1431,""adm1_name"":""Lempira""},{""adm1_code"":1432,""adm1_name"":""Name Unknown""},{""adm1_code"":1433,""adm1_name"":""Ocotepeque""},{""adm1_code"":1434,""adm1_name"":""Olancho""},{""adm1_code"":1435,""adm1_name"":""Paraiso""},{""adm1_code"":1436,""adm1_name"":""Santa Barbara""},{""adm1_code"":1437,""adm1_name"":""Valle""},{""adm1_code"":1438,""adm1_name"":""Yoro""}]",2003-07-01,2023-09-25
2000-0216-GUF,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,GUF,French Guiana,Latin America and the Caribbean,Americas,Remire (Montjoly) district (Cayenne province),Heavy rains,,No,No,No,,,,,,,2000,4,19,2000,4,19,10,5,,,5,,,,,,,56.5142905592776,"[{""adm2_code"":16341,""adm2_name"":""Remire (montjoly)""}]",2003-07-01,2023-09-25
2000-0232-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,USA,United States of America,Northern America,Americas,"Franklin, Jefferson districts (Missouri province)",Brief torrential rain,,No,No,No,,,Km2,,,"Flat Creek, Bourbeuse, Big and Meramec rivers",2000,5,6,2000,5,9,2,,,2000,2000,,,,,,,56.5142905592776,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",2005-09-16,2023-09-25
2000-0240-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",,,No,No,No,,194,Km2,,,,2000,5,,2000,9,,,,25000,400,25400,,,200500,354778,1500000,2654196,56.5142905592776,"[{""adm2_code"":30487,""adm2_name"":""Los Alamos""},{""adm2_code"":30493,""adm2_name"":""Rio Arriba""},{""adm2_code"":30497,""adm2_name"":""Sandoval""},{""adm2_code"":30498,""adm2_name"":""Santa Fe""}]",2006-08-15,2023-09-25
2000-0255-ARG,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ARG,Argentina,Latin America and the Caribbean,Americas,"Avellaneda, Berisso, Lanus, Quilmes, San Fernando, San Miguel districts (Buenos Aires province), Rosario district (Santa Fe province), Parana city (Entre Rios province); Buenos Aires city (Buenos Aires D.f. province), La Pampa, La Cordoba provinces",,,No,No,No,,,Km2,,,,2000,5,15,2000,5,15,4,40,30000,,30040,,,,,,,56.5142905592776,"[{""adm1_code"":430,""adm1_name"":""Buenos Aires D.f.""},{""adm1_code"":434,""adm1_name"":""Cordoba""},{""adm1_code"":439,""adm1_name"":""La Pampa""},{""adm2_code"":4386,""adm2_name"":""Avellaneda""},{""adm2_code"":4395,""adm2_name"":""Berisso""},{""adm2_code"":4445,""adm2_name"":""Lanus""},{""adm2_code"":4477,""adm2_name"":""Quilmes""},{""adm2_code"":82738,""adm2_name"":""San Miguel""},{""adm2_code"":190525,""adm2_name"":""San  Fernando""},{""adm2_code"":4631,""adm2_name"":""Parana""},{""adm2_code"":4836,""adm2_name"":""Rosario""}]",2003-07-01,2023-09-25
2000-0262-USA,No,tec-tra-air-air,Technological,Transport,Air,Air,,Twin engine turbo-prop BA-31 Jetstream,USA,United States of America,Northern America,Americas,Near Wilkes-Barre (Pennsylvania),,,No,No,No,,,,,,,2000,5,21,2000,5,21,19,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0263-USA,No,tec-mis-col-col,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),,Pedestrian bridge,USA,United States of America,Northern America,Americas,Concord (North Carolina),,,No,No,No,,,,,,,2000,5,20,2000,5,20,,107,,,107,,,,,,,56.5142905592776,,2003-07-01,2025-03-14
2000-0265-COL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,COL,Colombia,Latin America and the Caribbean,Americas,"Narino, Putumayo, Santander, Antioquia, Choco, Cundinamarca, Tolima, Valle del Cauca, Amazonas provinces",Heavy rains,"Slide (land, mud, snow, rock)|Transport accident",No,No,No,9,200000,Km2,,,San Miguel,2000,5,18,2000,5,24,96,,12000,,12000,,,,,,,56.5142905592776,"[{""adm1_code"":934,""adm1_name"":""Amazonas""},{""adm1_code"":935,""adm1_name"":""Antioquia""},{""adm1_code"":946,""adm1_name"":""Choco""},{""adm1_code"":948,""adm1_name"":""Cundinamarca""},{""adm1_code"":955,""adm1_name"":""Narino""},{""adm1_code"":957,""adm1_name"":""Putumayo""},{""adm1_code"":961,""adm1_name"":""Santander""},{""adm1_code"":963,""adm1_name"":""Tolima""},{""adm1_code"":964,""adm1_name"":""Valle Del Cauca""}]",2005-02-09,2023-09-25
2000-0266-ECU,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ECU,Ecuador,Latin America and the Caribbean,Americas,"Carchi, Imbabura provinces",,,No,No,No,,,Km2,,,,2000,5,22,2000,5,22,34,32,,,32,,,,,,,56.5142905592776,"[{""adm1_code"":1138,""adm1_name"":""Carchi""},{""adm1_code"":1145,""adm1_name"":""Imbabura""}]",2003-07-01,2023-09-25
2000-0271-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,USA,United States of America,Northern America,Americas,Oklahoma province,Brief torrential rain,,No,No,No,,,Km2,,,"Polecat Creek, Bird Creek, Neosho River, and Caney River",2000,5,6,2000,5,9,1,,300,,300,,,,,,,56.5142905592776,"[{""adm1_code"":3250,""adm1_name"":""Oklahoma""}]",2005-09-16,2023-09-25
2000-0275-URY,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,URY,Uruguay,Latin America and the Caribbean,Americas,"Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta Y Tres provinces",,,No,No,No,,,Km2,,,,2000,5,16,2000,5,16,,,5000,,5000,,,,,,,56.5142905592776,"[{""adm1_code"":3265,""adm1_name"":""Artigas""},{""adm1_code"":3266,""adm1_name"":""Canelones""},{""adm1_code"":3267,""adm1_name"":""Cerro Largo""},{""adm1_code"":3268,""adm1_name"":""Colonia""},{""adm1_code"":3269,""adm1_name"":""Durazno""},{""adm1_code"":3270,""adm1_name"":""Flores""},{""adm1_code"":3271,""adm1_name"":""Florida""},{""adm1_code"":3272,""adm1_name"":""Lavalleja""},{""adm1_code"":3273,""adm1_name"":""Maldonado""},{""adm1_code"":3274,""adm1_name"":""Montevideo""},{""adm1_code"":3275,""adm1_name"":""Paysandu""},{""adm1_code"":3276,""adm1_name"":""Rio Negro""},{""adm1_code"":3277,""adm1_name"":""Rivera""},{""adm1_code"":3278,""adm1_name"":""Rocha""},{""adm1_code"":3279,""adm1_name"":""Salto""},{""adm1_code"":3280,""adm1_name"":""San Jose""},{""adm1_code"":3281,""adm1_name"":""Soriano""},{""adm1_code"":3282,""adm1_name"":""Tacuarembo""},{""adm1_code"":3283,""adm1_name"":""Treinta Y Tres""}]",2003-07-01,2023-09-25
2000-0276-MEX,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,MEX,Mexico,Latin America and the Caribbean,Americas,"Distrito Federal, Veracruz, Chiapas, Tabasco, Zacatecas provinces",,,No,No,No,,,Km2,,,,2000,5,13,2000,5,13,14,,,,,,,,,,,56.5142905592776,"[{""adm1_code"":2032,""adm1_name"":""Chiapas""},{""adm1_code"":2036,""adm1_name"":""Distrito Federal""},{""adm1_code"":2054,""adm1_name"":""Tabasco""},{""adm1_code"":2057,""adm1_name"":""Veracruz""},{""adm1_code"":2059,""adm1_name"":""Zacatecas""}]",2003-07-01,2023-09-25
2000-0279-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,No,No,No,,16,Km2,,,,2000,5,14,2000,5,14,,,,,,,,,,,,56.5142905592776,"[{""adm2_code"":29053,""adm2_name"":""Sarasota""}]",2003-07-01,2023-09-25
2000-0296-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,Liberty district (Texas province),,,No,No,No,,,Km2,,,,2000,5,19,2000,5,19,,,240,,240,,,,,,,56.5142905592776,"[{""adm2_code"":31345,""adm2_name"":""Liberty""}]",2003-07-01,2023-09-25
2000-0297-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,"Franklin, Jefferson, Gasconade districts (Missouri province)",,,No,No,No,,,Km2,,,,2000,5,23,2000,5,23,2,,300,,300,,,,,100000,176946,56.5142905592776,"[{""adm2_code"":30196,""adm2_name"":""Franklin""},{""adm2_code"":30197,""adm2_name"":""Gasconade""},{""adm2_code"":30210,""adm2_name"":""Jefferson""}]",2003-07-01,2023-09-25
2000-0299-GTM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GTM,Guatemala,Latin America and the Caribbean,Americas,"Guatemala district (Guatemala province), Alta Verapaz, Escuintla, Huehuetenango, Jalapa, Quiché, Totonicapan, Zacapa provinces",Heavy rain,,No,No,Yes,,11600,Km2,,,Motagua river,2000,6,6,2000,6,21,16,24,2500,,2524,,,,,,,56.5142905592776,"[{""adm1_code"":64825,""adm1_name"":""Escuintla""},{""adm1_code"":64828,""adm1_name"":""Totonicapán""},{""adm1_code"":64833,""adm1_name"":""Huehuetenango""},{""adm1_code"":64834,""adm1_name"":""Quiché""},{""adm1_code"":64836,""adm1_name"":""Alta Verapaz""},{""adm1_code"":64839,""adm1_name"":""Zacapa""},{""adm1_code"":64841,""adm1_name"":""Jalapa""},{""adm2_code"":64843,""adm2_name"":""Guatemala""}]",2005-09-16,2023-09-25
2000-0310-CHL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHL,Chile,Latin America and the Caribbean,Americas,"Valdivia district (Los Rios province), Cautin district (Araucania province)",Heavy rain,,No,No,No,,84000,Km2,,,,2000,6,5,2000,6,16,1,,42000,,42000,,,,,,,56.5142905592776,"[{""adm2_code"":12935,""adm2_name"":""Cautin""},{""adm2_code"":149633,""adm2_name"":""Valdivia""}]",2005-09-15,2023-09-25
2000-0317-MEX,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MEX,Mexico,Latin America and the Caribbean,Americas,Chalco district (Mexico province),,,No,No,No,,,Km2,,,,2000,5,30,2000,5,30,5,,2000,,2000,,,,,,,56.5142905592776,"[{""adm2_code"":20226,""adm2_name"":""Chalco""}]",2003-07-01,2023-09-25
2000-0319-USA,No,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,USA,United States of America,Northern America,Americas,South-West Louisiana,,,No,No,No,,,,,,,2000,5,27,2000,5,27,,,2500,,2500,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0333-MEX,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MEX,Mexico,Latin America and the Caribbean,Americas,"Acatlan de Perez Figueroa city (Tuxtepec district, Oaxaca province)",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2000,6,10,2000,6,14,120,,,,,,,,,,,56.5142905592776,"[{""adm2_code"":20573,""adm2_name"":""Dist. Tuxtepec""}]",2005-04-24,2023-09-25
2000-0338-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)",,,No,No,No,,,Kph,,,,2000,5,26,2000,5,26,,,,,,,,,,28500,50430,56.5142905592776,"[{""adm2_code"":31724,""adm2_name"":""Adams""},{""adm2_code"":31734,""adm2_name"":""Columbia""},{""adm2_code"":31735,""adm2_name"":""Crawford""},{""adm2_code"":31736,""adm2_name"":""Dane""},{""adm2_code"":31737,""adm2_name"":""Dodge""},{""adm2_code"":31745,""adm2_name"":""Grant""},{""adm2_code"":31746,""adm2_name"":""Green""},{""adm2_code"":31748,""adm2_name"":""Iowa""},{""adm2_code"":31752,""adm2_name"":""Juneau""},{""adm2_code"":31755,""adm2_name"":""La Crosse""},{""adm2_code"":31756,""adm2_name"":""Lafayette""},{""adm2_code"":31765,""adm2_name"":""Monroe""},{""adm2_code"":31776,""adm2_name"":""Richland""},{""adm2_code"":31777,""adm2_name"":""Rock""},{""adm2_code"":31779,""adm2_name"":""Sauk""},{""adm2_code"":31786,""adm2_name"":""Vernon""}]",2003-07-01,2023-09-25
2000-0340-BRA,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Garderie d'enfants,BRA,Brazil,Latin America and the Caribbean,Americas,Uruguaiana (Rio Grande state),,,No,No,No,,,,,,,2000,6,20,2000,6,20,12,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0345-NIC,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,NIC,Nicaragua,Latin America and the Caribbean,Americas,El Rama district (Atlantico Sur province),,,No,No,No,,,Km2,,,,2000,6,,2000,6,,,,5500,,5500,,,,,,,56.5142905592776,"[{""adm2_code"":22403,""adm2_name"":""El  Rama""}]",2003-07-01,2023-09-25
2000-0360-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Anderson, Benton, Cheatham, Davidson, Henry, Hickman, Houston, Jackson, Knox, Lake, Obion, Perry, Pickett, Stewart districts (Tennessee province)",,,No,No,No,,,Kph,,,,2000,5,23,2000,5,23,,,,,,,,,,,,56.5142905592776,"[{""adm2_code"":31105,""adm2_name"":""Anderson""},{""adm2_code"":31107,""adm2_name"":""Benton""},{""adm2_code"":31115,""adm2_name"":""Cheatham""},{""adm2_code"":31123,""adm2_name"":""Davidson""},{""adm2_code"":31144,""adm2_name"":""Henry""},{""adm2_code"":31145,""adm2_name"":""Hickman""},{""adm2_code"":31146,""adm2_name"":""Houston""},{""adm2_code"":31148,""adm2_name"":""Jackson""},{""adm2_code"":31151,""adm2_name"":""Knox""},{""adm2_code"":31152,""adm2_name"":""Lake""},{""adm2_code"":31170,""adm2_name"":""Obion""},{""adm2_code"":31172,""adm2_name"":""Perry""},{""adm2_code"":31173,""adm2_name"":""Pickett""},{""adm2_code"":31185,""adm2_name"":""Stewart""}]",2003-07-01,2023-09-25
