DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2019-0008-ARG,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2019-000009,,ARG,Argentina,Latin America and the Caribbean,Americas,"Corrientes, Santiago del Estero, Chaco, Tucumán, Santa Fe, Entre Ríos provinces",Heavy rain,Storm,No,No,No,,,Km2,,,,2019,1,11,2019,1,17,4,,31451,,31451,,,,,,,83.9041700601057,"[{""adm1_code"":432,""adm1_name"":""Chaco""},{""adm1_code"":435,""adm1_name"":""Corrientes""},{""adm1_code"":436,""adm1_name"":""Entre Rios""},{""adm1_code"":449,""adm1_name"":""Santa Fe""},{""adm1_code"":450,""adm1_name"":""Santiago Del Estero""},{""adm1_code"":452,""adm1_name"":""Tucuman""}]",2019-01-17,2023-09-25
2019-0008-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2019-000009,,BRA,Brazil,Latin America and the Caribbean,Americas,"Alegrete, Santana da Boa Vista, Quaraí , Bagé and Lavras do Sul Municipalities municipalities (Rio Grande do Sul State)",,Storm,No,No,Yes,,,Km2,,,,2019,1,11,2019,1,11,4,,10000,,10000,,,,,,,83.9041700601057,"[{""adm1_code"":685,""adm1_name"":""Rio Grande Do Sul""}]",2019-01-17,2023-09-25
2019-0019-MEX,No,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Oleoduc,MEX,Mexico,Latin America and the Caribbean,Americas,Tlahuelilpan,,,No,No,No,,,m3,,,,2019,1,18,2019,1,18,125,22,,,22,,,,,,,83.9041700601057,,2019-01-24,2023-09-25
2019-0023-CHL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,CHL,Chile,Latin America and the Caribbean,Americas,Coquimbo,,,No,No,No,,6.7,Moment Magnitude,-30.074,-71.423,,2019,1,19,2019,1,19,2,,780,,780,,,,,,,83.9041700601057,"[{""adm1_code"":888,""adm1_name"":""Coquimbo""}]",2019-01-25,2025-03-18
2019-0025-CUB,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,CUB,Cuba,Latin America and the Caribbean,Americas,"Cerro, 10 de Octubre,Guanabacoa, Regla, San Miguel del Padron (la Havana)",,,No,No,No,,300,Kph,,,,2019,1,27,2019,1,28,6,195,9916,,10111,,,,,,,83.9041700601057,"[{""adm2_code"":14605,""adm2_name"":""Cerro""},{""adm2_code"":14607,""adm2_name"":""Diez De Octubre""},{""adm2_code"":14608,""adm2_name"":""Guanabacoa""},{""adm2_code"":14614,""adm2_name"":""Regla""},{""adm2_code"":14615,""adm2_name"":""San Miguel Del Padron""}]",2019-01-28,2023-09-25
2019-0026-BRA,No,tec-ind-col-col,Technological,Industrial accident,Collapse (Industrial),Collapse (Industrial),,Dam,BRA,Brazil,Latin America and the Caribbean,Americas,Brumadinho,,"Slide (land, mud, snow, rock)",No,No,No,,,m3,,,,2019,1,25,2019,1,25,334,,,,,,,,,,,83.9041700601057,,2019-01-28,2023-09-25
2019-0027-PER,No,nat-hyd-mmw-mud,Natural,Hydrological,Mass movement (wet),Mudslide,,,PER,Peru,Latin America and the Caribbean,Americas,Apurimac department (Abancay province),Heavy rains,,No,No,No,,,,,,,2019,1,25,2019,1,26,15,28,,,28,,,,,,,83.9041700601057,"[{""adm1_code"":2330,""adm1_name"":""Apurímac""}]",2019-01-28,2023-09-25
2019-0031-COL,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Migrants,COL,Colombia,Latin America and the Caribbean,Americas,Caribbean sea,,,No,No,No,,,,,,,2019,1,28,2019,1,28,30,,,,,,,,,,,83.9041700601057,,2019-01-31,2023-09-25
2019-0037-BOL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Santa Cruz, Cochabamba, Tarija, Potosi, northern part of La Paz",Heavy rains,,No,No,Yes,,,Km2,,,,2019,1,16,2019,1,16,,,14000,,14000,,,,,,,83.9041700601057,"[{""adm1_code"":40445,""adm1_name"":""Cochabamba""},{""adm1_code"":40446,""adm1_name"":""La Paz""},{""adm1_code"":40448,""adm1_name"":""Potosi""},{""adm1_code"":40449,""adm1_name"":""Santa Cruz""},{""adm1_code"":40450,""adm1_name"":""Tarija""}]",2019-02-01,2023-09-25
2019-0040-URY,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,URY,Uruguay,Latin America and the Caribbean,Americas,"Artigas, Durazno, Florida, Soriano, Salto",Heavy rains,,No,No,No,,,Km2,,,,2019,1,10,2019,1,23,,,5427,,5427,,,,,,,83.9041700601057,"[{""adm1_code"":3265,""adm1_name"":""Artigas""},{""adm1_code"":3269,""adm1_name"":""Durazno""},{""adm1_code"":3271,""adm1_name"":""Florida""},{""adm1_code"":3279,""adm1_name"":""Salto""},{""adm1_code"":3281,""adm1_name"":""Soriano""}]",2019-02-01,2023-09-25
